"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\camera.py", "Python", 8, 0, 3, 11
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\level.py", "Python", 13, 0, 2, 15
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\player.py", "Python", 3, 0, 0, 3
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\ui.py", "Python", 16, 0, 2, 18
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\game.py", "Python", -1, 0, 0, -1
"Total", "-", 39, 0, 7, 46
